type,src,dst,status
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftUncinateInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftUncinateInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftUncinateStart_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftUncinate_probseg.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftVerticalOccipitalEnd_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftVerticalOccipitalStart_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-RightAnteriorThalamicEnd_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-RightAnteriorThalamicInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-RightAnteriorThalamicInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-RightAnteriorThalamicStart_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-RightAnteriorThalamic_probseg.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-RightArcuateEnd_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-RightArcuateInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-RightArcuateInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-RightArcuateStart_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-RightArcuate_probseg.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-RightCingulumCingulateEnd_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-RightCingulumCingulateInclude0_mask.json,,no-change
